"Pregunta","Respuesta1","Respuesta2","Respuesta3","Correcta"
"¿Cuál es la capital de Francia?", "París", "Londres", "Berlín", "París"
"¿Cuántos planetas hay en el sistema solar?", "8", "7", "9", "8"
"¿Cuál es el símbolo químico del oro?", "Au", "Ag", "Pb", "Au"
"¿En qué año llegó el hombre a la Luna?", "1969", "1970", "1968", "1969"
"¿Cuál es el río más largo del mundo?", "Amazonas", "Nilo", "Yangtsé", "Nilo"
"¿Qué país tiene el mayor número de habitantes?", "China", "India", "EE.UU.", "China"
"¿Cuál es la moneda oficial de Japón?", "Yen", "Dólar", "Euro", "Yen"
"¿Quién pintó la Mona Lisa?", "Leonardo da Vinci", "Pablo Picasso", "Vincent van Gogh", "Leonardo da Vinci"
"¿Cuál es el planeta más cercano al sol?", "Mercurio", "Venus", "Tierra", "Mercurio"
"¿Qué científico formuló la teoría de la relatividad?", "Albert Einstein", "Isaac Newton", "Galileo Galilei", "Albert Einstein"
"¿Cuál es el animal terrestre más rápido?", "Guepardo", "León", "Tigre", "Guepardo"
"¿En qué continente se encuentra Egipto?", "África", "Asia", "Europa", "África"
"¿Cuál es el océano más grande del mundo?", "Pacífico", "Atlántico", "Índico", "Pacífico"
"¿Cuál es la montaña más alta del mundo?", "Everest", "K2", "Kangchenjunga", "Everest"
"¿Quién escribió 'Don Quijote de la Mancha'?", "Miguel de Cervantes", "Gabriel García Márquez", "Jorge Luis Borges", "Miguel de Cervantes"
"¿Cuál es la fórmula química del agua?", "H2O", "CO2", "O2", "H2O"
"¿Qué país ganó la Copa Mundial de la FIFA en 2018?", "Francia", "Alemania", "Brasil", "Francia"
"¿Cuál es el idioma oficial de Brasil?", "Portugués", "Español", "Inglés", "Portugués"
"¿En qué ciudad se encuentra la Torre Eiffel?", "París", "Madrid", "Roma", "París"
"¿Cuál es la capital de Australia?", "Canberra", "Sídney", "Melbourne", "Canberra"
